game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,伊美 勇吾,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,藤原 誠,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,西村 駿一,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,小林 智,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,7,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,横尾 拓二,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,大井 悠矢,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,南 健太,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,佐藤 拳太,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,加藤 高仁,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,貝川 純平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,122.0,24.4,122.0,24.4,,,31.0,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,川崎 晃弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,77.0,25.667,,
