game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,白田 幹,,,,,,,,,,,,,,,,,,,,,,,,5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,山田 優樹,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,宮崎 陸,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,山出 宜輝,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,鈴木 文健,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,仲道 祐介,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,森 洸三,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,廣田 祐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,38.0,,,,4.0,160.0,40.0,163.0,40.75,,,49.0,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,水村 真哉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,22.0,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,小田倉 彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,72.0,36.0,73.0,36.5,,,42.0,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,佐藤 凱輝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
